Year,STATE/UT,DISTRICT,Insult_to_modesty_of_Women
2006,chhattisgarh,raipur,34
2007,chhattisgarh,raipur,28
2008,chhattisgarh,raipur,34
2009,chhattisgarh,raipur,32
2010,chhattisgarh,raipur,33
2011,chhattisgarh,raipur,53
2012,chhattisgarh,raipur,38
2013,chhattisgarh,raipur,32
2001,madhyapradesh,raisen,31
2002,madhyapradesh,raisen,16
2003,madhyapradesh,raisen,0
2004,madhyapradesh,raisen,0
2005,madhyapradesh,raisen,15
2006,madhyapradesh,raisen,17
2007,madhyapradesh,raisen,16
2008,madhyapradesh,raisen,0
2009,madhyapradesh,raisen,16
2010,madhyapradesh,raisen,0
2011,madhyapradesh,raisen,16
2012,madhyapradesh,raisen,0
2013,madhyapradesh,raisen,33
2001,madhyapradesh,rajgarh,26
2002,madhyapradesh,rajgarh,27
2003,madhyapradesh,rajgarh,20
2004,madhyapradesh,rajgarh,31
2005,madhyapradesh,rajgarh,31
2006,madhyapradesh,rajgarh,35
2007,madhyapradesh,rajgarh,34
2008,madhyapradesh,rajgarh,36
2009,madhyapradesh,rajgarh,25
2010,madhyapradesh,rajgarh,27
2011,madhyapradesh,rajgarh,39
2012,madhyapradesh,rajgarh,25
2013,madhyapradesh,rajgarh,10
2001,gujarat,rajkot_commr.,12
2002,gujarat,rajkot_commr.,12
2003,gujarat,rajkot_commr.,13
2004,gujarat,rajkot_commr.,10
2005,gujarat,rajkot_commr.,7
2006,gujarat,rajkot_commr.,12
2007,gujarat,rajkot_commr.,22
2008,gujarat,rajkot_commr.,19
2009,gujarat,rajkot_commr.,8
2010,gujarat,rajkot_commr.,7
2011,gujarat,rajkot_commr.,3
2012,gujarat,rajkot_commr.,3
2013,gujarat,rajkot_commr.,4
2001,gujarat,rajkot_rural,3
2002,gujarat,rajkot_rural,8
2003,gujarat,rajkot_rural,4
2004,gujarat,rajkot_rural,4
2005,gujarat,rajkot_rural,1
2006,gujarat,rajkot_rural,5
2007,gujarat,rajkot_rural,1
2008,gujarat,rajkot_rural,2
2009,gujarat,rajkot_rural,3
2010,gujarat,rajkot_rural,5
2011,gujarat,rajkot_rural,6
2012,gujarat,rajkot_rural,3
2013,gujarat,rajkot_rural,2
2001,chhattisgarh,rajnandgaon,12
2002,chhattisgarh,rajnandgaon,7
2003,chhattisgarh,rajnandgaon,2
2004,chhattisgarh,rajnandgaon,8
2005,chhattisgarh,rajnandgaon,6
2006,chhattisgarh,rajnandgaon,7
2007,chhattisgarh,rajnandgaon,6
2008,chhattisgarh,rajnandgaon,5
2009,chhattisgarh,rajnandgaon,5
2010,chhattisgarh,rajnandgaon,5
2011,chhattisgarh,rajnandgaon,3
2012,chhattisgarh,rajnandgaon,7
2013,chhattisgarh,rajnandgaon,4
2001,jammu&kashmir,rajouri,6
2002,jammu&kashmir,rajouri,5
2003,jammu&kashmir,rajouri,7
2004,jammu&kashmir,rajouri,2
2005,jammu&kashmir,rajouri,7
2006,jammu&kashmir,rajouri,13
2007,jammu&kashmir,rajouri,6
2008,jammu&kashmir,rajouri,7
2009,jammu&kashmir,rajouri,3
2010,jammu&kashmir,rajouri,4
2011,jammu&kashmir,rajouri,4
2012,jammu&kashmir,rajouri,11
2013,jammu&kashmir,rajouri,16
2001,rajasthan,rajsamand,1
2002,rajasthan,rajsamand,0
2003,rajasthan,rajsamand,2
2004,rajasthan,rajsamand,1
2005,rajasthan,rajsamand,2
2006,rajasthan,rajsamand,1
2007,rajasthan,rajsamand,1
2008,rajasthan,rajsamand,0
2009,rajasthan,rajsamand,2
2010,rajasthan,rajsamand,0
2011,rajasthan,rajsamand,0
2012,rajasthan,rajsamand,1
2013,rajasthan,rajsamand,1
2001,jammu&kashmir,ramban,2
2002,jammu&kashmir,ramban,3
2003,jammu&kashmir,ramban,3
2004,jammu&kashmir,ramban,1
2005,jammu&kashmir,ramban,1
2006,jammu&kashmir,ramban,4
2007,jammu&kashmir,ramban,5
2008,jammu&kashmir,ramban,4
2009,jammu&kashmir,ramban,6
2010,jammu&kashmir,ramban,2
2011,jammu&kashmir,ramban,4
2012,jammu&kashmir,ramban,6
2013,jammu&kashmir,ramban,6
2001,tamilnadu,ramnathapuram,12
2002,tamilnadu,ramnathapuram,6
2003,tamilnadu,ramnathapuram,6
2004,tamilnadu,ramnathapuram,7
2005,tamilnadu,ramnathapuram,3
2006,tamilnadu,ramnathapuram,6
2007,tamilnadu,ramnathapuram,11
2008,tamilnadu,ramnathapuram,1
2009,tamilnadu,ramnathapuram,2
2010,tamilnadu,ramnathapuram,4
2011,tamilnadu,ramnathapuram,0
2012,tamilnadu,ramnathapuram,3
2013,tamilnadu,ramnathapuram,2
2001,uttarpradesh,rampur,0
2002,uttarpradesh,rampur,14
2003,uttarpradesh,rampur,7
2004,uttarpradesh,rampur,6
2005,uttarpradesh,rampur,3
2006,uttarpradesh,rampur,4
2007,uttarpradesh,rampur,13
2008,uttarpradesh,rampur,17
2009,uttarpradesh,rampur,16
2010,uttarpradesh,rampur,0
2011,uttarpradesh,rampur,0
2012,uttarpradesh,rampur,0
2013,uttarpradesh,rampur,0
2001,jharkhand,ranchi,1
2002,jharkhand,ranchi,0
2003,jharkhand,ranchi,0
2004,jharkhand,ranchi,0
2005,jharkhand,ranchi,0
2006,jharkhand,ranchi,2
2007,jharkhand,ranchi,2
2008,jharkhand,ranchi,0
2009,jharkhand,ranchi,0
2010,jharkhand,ranchi,3
2011,jharkhand,ranchi,2
2012,jharkhand,ranchi,1
2013,jharkhand,ranchi,2
2001,andhrapradesh,ranga_reddy,55
2002,andhrapradesh,ranga_reddy,93
2003,andhrapradesh,ranga_reddy,12
2004,andhrapradesh,ranga_reddy,15
2005,andhrapradesh,ranga_reddy,13
2006,andhrapradesh,ranga_reddy,9
2007,andhrapradesh,ranga_reddy,10
2008,andhrapradesh,ranga_reddy,25
2009,andhrapradesh,ranga_reddy,25
2010,andhrapradesh,ranga_reddy,26
2011,andhrapradesh,ranga_reddy,2
2012,andhrapradesh,ranga_reddy,31
2013,andhrapradesh,ranga_reddy,23
2001,madhyapradesh,ratlam,28
2002,madhyapradesh,ratlam,17
2003,madhyapradesh,ratlam,13
2004,madhyapradesh,ratlam,30
2005,madhyapradesh,ratlam,30
2006,madhyapradesh,ratlam,24
2007,madhyapradesh,ratlam,35
2008,madhyapradesh,ratlam,11
2009,madhyapradesh,ratlam,21
2010,madhyapradesh,ratlam,32
2011,madhyapradesh,ratlam,18
2012,madhyapradesh,ratlam,11
2013,madhyapradesh,ratlam,5
2001,maharashtra,ratnagiri,19
2002,maharashtra,ratnagiri,16
2003,maharashtra,ratnagiri,10
2004,maharashtra,ratnagiri,12
2005,maharashtra,ratnagiri,29
2006,maharashtra,ratnagiri,24
2007,maharashtra,ratnagiri,31
2008,maharashtra,ratnagiri,27
2009,maharashtra,ratnagiri,20
2010,maharashtra,ratnagiri,12
2011,maharashtra,ratnagiri,18
2012,maharashtra,ratnagiri,17
2013,maharashtra,ratnagiri,26
2001,odisha,rayagada,2
2002,odisha,rayagada,2
2003,odisha,rayagada,3
2004,odisha,rayagada,2
2005,odisha,rayagada,5
2006,odisha,rayagada,4
2007,odisha,rayagada,4
2008,odisha,rayagada,1
2009,odisha,rayagada,2
2010,odisha,rayagada,4
2011,odisha,rayagada,6
2012,odisha,rayagada,9
2013,odisha,rayagada,10
2001,jammu&kashmir,reasi,4
2002,jammu&kashmir,reasi,1
2003,jammu&kashmir,reasi,3
2004,jammu&kashmir,reasi,7
2005,jammu&kashmir,reasi,3
2006,jammu&kashmir,reasi,3
2007,jammu&kashmir,reasi,3
2008,jammu&kashmir,reasi,4
2009,jammu&kashmir,reasi,7
2010,jammu&kashmir,reasi,1
2011,jammu&kashmir,reasi,5
2012,jammu&kashmir,reasi,6
2013,jammu&kashmir,reasi,8
2001,madhyapradesh,rewa,2
2002,madhyapradesh,rewa,3
2003,madhyapradesh,rewa,2
2004,madhyapradesh,rewa,3
2005,madhyapradesh,rewa,2
2006,madhyapradesh,rewa,2
2007,madhyapradesh,rewa,3
2008,madhyapradesh,rewa,7
2009,madhyapradesh,rewa,2
2010,madhyapradesh,rewa,1
2011,madhyapradesh,rewa,107
2012,madhyapradesh,rewa,7
2013,madhyapradesh,rewa,3
2001,haryana,rewari,0
2002,haryana,rewari,0
2003,haryana,rewari,1
2004,haryana,rewari,0
2005,haryana,rewari,10
2006,haryana,rewari,0
2007,haryana,rewari,1
2008,haryana,rewari,0
2009,haryana,rewari,20
2010,haryana,rewari,27
2011,haryana,rewari,34
2012,haryana,rewari,1
2013,haryana,rewari,52
2001,meghalaya,ri-bhoi,0
2002,meghalaya,ri-bhoi,0
2003,meghalaya,ri-bhoi,0
2004,meghalaya,ri-bhoi,0
2005,meghalaya,ri-bhoi,0
2006,meghalaya,ri-bhoi,0
2007,meghalaya,ri-bhoi,0
2008,meghalaya,ri-bhoi,0
2009,meghalaya,ri-bhoi,0
2010,meghalaya,ri-bhoi,0
2011,meghalaya,ri-bhoi,0
2012,meghalaya,ri-bhoi,0
2013,meghalaya,ri-bhoi,0
2001,haryana,rohtak,20
2002,haryana,rohtak,40
2003,haryana,rohtak,23
2004,haryana,rohtak,21
2005,haryana,rohtak,32
2006,haryana,rohtak,29
2007,haryana,rohtak,32
2008,haryana,rohtak,38
2009,haryana,rohtak,38
2010,haryana,rohtak,57
2011,haryana,rohtak,52
2012,haryana,rohtak,40
2013,haryana,rohtak,39
2001,bihar,rohtas,0
2002,bihar,rohtas,0
2003,bihar,rohtas,0
2004,bihar,rohtas,0
2005,bihar,rohtas,0
2006,bihar,rohtas,0
2007,bihar,rohtas,0
2008,bihar,rohtas,0
2009,bihar,rohtas,0
2010,bihar,rohtas,11
2011,bihar,rohtas,0
2012,bihar,rohtas,0
2013,bihar,rohtas,0
2001,punjab,ropar,4
2002,punjab,ropar,6
2003,punjab,ropar,3
2004,punjab,ropar,3
2005,punjab,ropar,2
2006,punjab,ropar,1
2007,punjab,ropar,0
2008,punjab,ropar,1
2009,punjab,ropar,3
2010,punjab,ropar,2
2011,punjab,ropar,1
2012,punjab,ropar,3
2013,punjab,ropar,0
2001,odisha,rourkela,13
2002,odisha,rourkela,3
2003,odisha,rourkela,6
2004,odisha,rourkela,6
2005,odisha,rourkela,7
2006,odisha,rourkela,10
2007,odisha,rourkela,8
2008,odisha,rourkela,5
2009,odisha,rourkela,4
2010,odisha,rourkela,6
2011,odisha,rourkela,6
2012,odisha,rourkela,4
2013,odisha,rourkela,17
2001,uttarakhand,rudra_prayag,1
2002,uttarakhand,rudra_prayag,0
2003,uttarakhand,rudra_prayag,0
2004,uttarakhand,rudra_prayag,0
2005,uttarakhand,rudra_prayag,1
2006,uttarakhand,rudra_prayag,0
2007,uttarakhand,rudra_prayag,0
2008,uttarakhand,rudra_prayag,2
2009,uttarakhand,rudra_prayag,2
2010,uttarakhand,rudra_prayag,1
2011,uttarakhand,rudra_prayag,3
2012,uttarakhand,rudra_prayag,4
2013,uttarakhand,rudra_prayag,3
2001,madhyapradesh,sagar,0
2002,madhyapradesh,sagar,22
2003,madhyapradesh,sagar,17
2004,madhyapradesh,sagar,26
2005,madhyapradesh,sagar,24
2006,madhyapradesh,sagar,19
2007,madhyapradesh,sagar,29
2008,madhyapradesh,sagar,38
2009,madhyapradesh,sagar,5
2010,madhyapradesh,sagar,16
2011,madhyapradesh,sagar,29
2012,madhyapradesh,sagar,22
2013,madhyapradesh,sagar,40
2001,uttarpradesh,saharanpur,96
2002,uttarpradesh,saharanpur,42
2003,uttarpradesh,saharanpur,70
2004,uttarpradesh,saharanpur,70
2005,uttarpradesh,saharanpur,74
2006,uttarpradesh,saharanpur,48
2007,uttarpradesh,saharanpur,77
2008,uttarpradesh,saharanpur,66
2009,uttarpradesh,saharanpur,39
2010,uttarpradesh,saharanpur,0
2011,uttarpradesh,saharanpur,0
2012,uttarpradesh,saharanpur,1
2013,uttarpradesh,saharanpur,0
2001,bihar,saharsa,0
2002,bihar,saharsa,2
2003,bihar,saharsa,0
2004,bihar,saharsa,0
2005,bihar,saharsa,0
2006,bihar,saharsa,0
2007,bihar,saharsa,0
2008,bihar,saharsa,0
2009,bihar,saharsa,0
2010,bihar,saharsa,0
2011,bihar,saharsa,0
2012,bihar,saharsa,0
2013,bihar,saharsa,0
2001,jharkhand,sahebganj,0
2002,jharkhand,sahebganj,0
2003,jharkhand,sahebganj,0
2004,jharkhand,sahebganj,0
2005,jharkhand,sahebganj,1
2006,jharkhand,sahebganj,0
2007,jharkhand,sahebganj,0
2008,jharkhand,sahebganj,0
2009,jharkhand,sahebganj,1
2010,jharkhand,sahebganj,0
2011,jharkhand,sahebganj,0
2012,jharkhand,sahebganj,1
2013,jharkhand,sahebganj,0
2001,mizoram,saiha,0
2002,mizoram,saiha,0
2003,mizoram,saiha,0
2004,mizoram,saiha,0
2005,mizoram,saiha,1
2006,mizoram,saiha,0
2007,mizoram,saiha,0
2008,mizoram,saiha,0
2009,mizoram,saiha,0
2010,mizoram,saiha,0
2011,mizoram,saiha,0
2012,mizoram,saiha,0
2013,mizoram,saiha,0
2001,tamilnadu,salem_rural,7
2002,tamilnadu,salem_rural,6
2003,tamilnadu,salem_rural,9
2004,tamilnadu,salem_rural,17
2005,tamilnadu,salem_rural,0
2006,tamilnadu,salem_rural,7
2007,tamilnadu,salem_rural,0
2008,tamilnadu,salem_rural,0
2009,tamilnadu,salem_rural,0
2010,tamilnadu,salem_rural,0
2011,tamilnadu,salem_rural,0
2012,tamilnadu,salem_rural,0
2013,tamilnadu,salem_rural,0
2001,tamilnadu,salem_urban,13
2002,tamilnadu,salem_urban,13
2003,tamilnadu,salem_urban,13
2004,tamilnadu,salem_urban,27
2005,tamilnadu,salem_urban,9
2006,tamilnadu,salem_urban,24
2007,tamilnadu,salem_urban,21
2008,tamilnadu,salem_urban,11
2009,tamilnadu,salem_urban,7
2010,tamilnadu,salem_urban,23
2011,tamilnadu,salem_urban,9
2012,tamilnadu,salem_urban,14
2013,tamilnadu,salem_urban,9
2001,bihar,samastipur,9
2002,bihar,samastipur,2
2003,bihar,samastipur,2
2004,bihar,samastipur,0
2005,bihar,samastipur,0
2006,bihar,samastipur,5
2007,bihar,samastipur,7
2008,bihar,samastipur,5
2009,bihar,samastipur,0
2010,bihar,samastipur,0
2011,bihar,samastipur,2
2012,bihar,samastipur,0
2013,bihar,samastipur,0
2001,odisha,sambalpur,9
2002,odisha,sambalpur,7
2003,odisha,sambalpur,13
2004,odisha,sambalpur,8
2005,odisha,sambalpur,10
2006,odisha,sambalpur,19
2007,odisha,sambalpur,6
2008,odisha,sambalpur,4
2009,odisha,sambalpur,6
2010,odisha,sambalpur,3
2011,odisha,sambalpur,2
2012,odisha,sambalpur,4
2013,odisha,sambalpur,7
2001,maharashtra,sangli,22
2002,maharashtra,sangli,8
2003,maharashtra,sangli,8
2004,maharashtra,sangli,11
2005,maharashtra,sangli,7
2006,maharashtra,sangli,4
2007,maharashtra,sangli,3
2008,maharashtra,sangli,14
2009,maharashtra,sangli,10
2010,maharashtra,sangli,10
2011,maharashtra,sangli,8
2012,maharashtra,sangli,15
2013,maharashtra,sangli,15
2001,punjab,sangrur,4
2002,punjab,sangrur,4
2003,punjab,sangrur,2
2004,punjab,sangrur,4
2005,punjab,sangrur,1
2006,punjab,sangrur,4
2007,punjab,sangrur,2
2008,punjab,sangrur,3
2009,punjab,sangrur,2
2010,punjab,sangrur,0
2011,punjab,sangrur,0
2012,punjab,sangrur,3
2013,punjab,sangrur,2
2001,uttarpradesh,sant_kabirnagar,6
2002,uttarpradesh,sant_kabirnagar,3
2003,uttarpradesh,sant_kabirnagar,43
2004,uttarpradesh,sant_kabirnagar,12
2005,uttarpradesh,sant_kabirnagar,15
2006,uttarpradesh,sant_kabirnagar,23
2007,uttarpradesh,sant_kabirnagar,16
2008,uttarpradesh,sant_kabirnagar,18
2009,uttarpradesh,sant_kabirnagar,15
2010,uttarpradesh,sant_kabirnagar,0
2011,uttarpradesh,sant_kabirnagar,0
2012,uttarpradesh,sant_kabirnagar,0
2013,uttarpradesh,sant_kabirnagar,0
2001,jharkhand,saraikela,0
2002,jharkhand,saraikela,0
2003,jharkhand,saraikela,0
2004,jharkhand,saraikela,0
2005,jharkhand,saraikela,0
2006,jharkhand,saraikela,0
2007,jharkhand,saraikela,0
2008,jharkhand,saraikela,0
2009,jharkhand,saraikela,0
2010,jharkhand,saraikela,0
2011,jharkhand,saraikela,2
2012,jharkhand,saraikela,0
2013,jharkhand,saraikela,0
2001,bihar,saran,0
2002,bihar,saran,0
2003,bihar,saran,1
2004,bihar,saran,0
2005,bihar,saran,1
2006,bihar,saran,0
2007,bihar,saran,0
2008,bihar,saran,0
2009,bihar,saran,0
2010,bihar,saran,0
2011,bihar,saran,0
2012,bihar,saran,0
2013,bihar,saran,0
2001,chhattisgarh,sarguja,10
2002,chhattisgarh,sarguja,2
2003,chhattisgarh,sarguja,1
2004,chhattisgarh,sarguja,1
2005,chhattisgarh,sarguja,1
2006,chhattisgarh,sarguja,1
2007,chhattisgarh,sarguja,1
2008,chhattisgarh,sarguja,3
2009,chhattisgarh,sarguja,0
2010,chhattisgarh,sarguja,1
2011,chhattisgarh,sarguja,3
2012,chhattisgarh,sarguja,1
2013,chhattisgarh,sarguja,1
2001,maharashtra,satara,9
2002,maharashtra,satara,2
2003,maharashtra,satara,5
2004,maharashtra,satara,8
2005,maharashtra,satara,2
2006,maharashtra,satara,10
2007,maharashtra,satara,13
2008,maharashtra,satara,26
2009,maharashtra,satara,7
2010,maharashtra,satara,19
2011,maharashtra,satara,16
2012,maharashtra,satara,29
2013,maharashtra,satara,45
2001,madhyapradesh,satna,6
2002,madhyapradesh,satna,3
2003,madhyapradesh,satna,5
2004,madhyapradesh,satna,6
2005,madhyapradesh,satna,9
2006,madhyapradesh,satna,11
2007,madhyapradesh,satna,7
2008,madhyapradesh,satna,9
2009,madhyapradesh,satna,11
2010,madhyapradesh,satna,18
2011,madhyapradesh,satna,7
2012,madhyapradesh,satna,7
2013,madhyapradesh,satna,11
2001,rajasthan,sawai_madhopur,0
2002,rajasthan,sawai_madhopur,0
2003,rajasthan,sawai_madhopur,0
2004,rajasthan,sawai_madhopur,0
2005,rajasthan,sawai_madhopur,0
2006,rajasthan,sawai_madhopur,0
2007,rajasthan,sawai_madhopur,0
2008,rajasthan,sawai_madhopur,0
2009,rajasthan,sawai_madhopur,0
2010,rajasthan,sawai_madhopur,0
2011,rajasthan,sawai_madhopur,0
2012,rajasthan,sawai_madhopur,0
2013,rajasthan,sawai_madhopur,0
2001,westbengal,sealdah_g.r.p.,0
2002,westbengal,sealdah_g.r.p.,0
2003,westbengal,sealdah_g.r.p.,0
2004,westbengal,sealdah_g.r.p.,0
2005,westbengal,sealdah_g.r.p.,0
2006,westbengal,sealdah_g.r.p.,0
2007,westbengal,sealdah_g.r.p.,0
2008,westbengal,sealdah_g.r.p.,0
2009,westbengal,sealdah_g.r.p.,0
2010,westbengal,sealdah_g.r.p.,0
2011,westbengal,sealdah_g.r.p.,0
2012,westbengal,sealdah_g.r.p.,2
2013,westbengal,sealdah_g.r.p.,1
2001,andhrapradesh,secunderabad_rly.,1
2002,andhrapradesh,secunderabad_rly.,0
2003,andhrapradesh,secunderabad_rly.,0
2004,andhrapradesh,secunderabad_rly.,0
2005,andhrapradesh,secunderabad_rly.,1
2006,andhrapradesh,secunderabad_rly.,0
2007,andhrapradesh,secunderabad_rly.,0
2008,andhrapradesh,secunderabad_rly.,0
2009,andhrapradesh,secunderabad_rly.,0
2010,andhrapradesh,secunderabad_rly.,2
2011,andhrapradesh,secunderabad_rly.,1
2012,andhrapradesh,secunderabad_rly.,5
2013,andhrapradesh,secunderabad_rly.,0
2001,manipur,senapati,0
2002,manipur,senapati,0
2003,manipur,senapati,0
2004,manipur,senapati,0
2005,manipur,senapati,0
2006,manipur,senapati,0
2007,manipur,senapati,0
2008,manipur,senapati,0
2009,manipur,senapati,0
2010,manipur,senapati,0
2011,manipur,senapati,0
2012,manipur,senapati,0
2013,manipur,senapati,0
2001,madhyapradesh,seoni,23
2002,madhyapradesh,seoni,12
2003,madhyapradesh,seoni,4
2004,madhyapradesh,seoni,11
2005,madhyapradesh,seoni,11
2006,madhyapradesh,seoni,9
2007,madhyapradesh,seoni,23
2008,madhyapradesh,seoni,14
2009,madhyapradesh,seoni,14
2010,madhyapradesh,seoni,23
2011,madhyapradesh,seoni,13
2012,madhyapradesh,seoni,7
2013,madhyapradesh,seoni,8
2001,mizoram,serchhip,0
2002,mizoram,serchhip,0
2003,mizoram,serchhip,0
2004,mizoram,serchhip,0
2005,mizoram,serchhip,0
2006,mizoram,serchhip,0
2007,mizoram,serchhip,0
2008,mizoram,serchhip,0
2009,mizoram,serchhip,0
2010,mizoram,serchhip,0
2011,mizoram,serchhip,0
2012,mizoram,serchhip,0
2013,mizoram,serchhip,0
2001,madhyapradesh,shahdol,3
2002,madhyapradesh,shahdol,24
2003,madhyapradesh,shahdol,14
2004,madhyapradesh,shahdol,0
2005,madhyapradesh,shahdol,9
2006,madhyapradesh,shahdol,9
2007,madhyapradesh,shahdol,9
2008,madhyapradesh,shahdol,9
2009,madhyapradesh,shahdol,5
2010,madhyapradesh,shahdol,6
2011,madhyapradesh,shahdol,9
2012,madhyapradesh,shahdol,7
2013,madhyapradesh,shahdol,9
2001,uttarpradesh,shahjahanpur,21
2002,uttarpradesh,shahjahanpur,35
2003,uttarpradesh,shahjahanpur,63
2004,uttarpradesh,shahjahanpur,24
2005,uttarpradesh,shahjahanpur,25
2006,uttarpradesh,shahjahanpur,25
2007,uttarpradesh,shahjahanpur,43
2008,uttarpradesh,shahjahanpur,25
2009,uttarpradesh,shahjahanpur,16
2010,uttarpradesh,shahjahanpur,0
2011,uttarpradesh,shahjahanpur,0
2012,uttarpradesh,shahjahanpur,0
2013,uttarpradesh,shahjahanpur,0
2001,madhyapradesh,shajapur,36
2002,madhyapradesh,shajapur,18
2003,madhyapradesh,shajapur,36
2004,madhyapradesh,shajapur,28
2005,madhyapradesh,shajapur,22
2006,madhyapradesh,shajapur,27
2007,madhyapradesh,shajapur,33
2008,madhyapradesh,shajapur,34
2009,madhyapradesh,shajapur,22
2010,madhyapradesh,shajapur,19
2011,madhyapradesh,shajapur,17
2012,madhyapradesh,shajapur,15
2013,madhyapradesh,shajapur,7
2001,bihar,sheikhpura,0
2002,bihar,sheikhpura,0
2003,bihar,sheikhpura,0
2004,bihar,sheikhpura,0
2005,bihar,sheikhpura,0
2006,bihar,sheikhpura,0
2007,bihar,sheikhpura,0
2008,bihar,sheikhpura,0
2009,bihar,sheikhpura,0
2010,bihar,sheikhpura,0
2011,bihar,sheikhpura,0
2012,bihar,sheikhpura,0
2013,bihar,sheikhpura,0
2001,bihar,sheohar,0
2002,bihar,sheohar,0
2003,bihar,sheohar,0
2004,bihar,sheohar,0
2005,bihar,sheohar,0
2006,bihar,sheohar,0
2007,bihar,sheohar,0
2008,bihar,sheohar,0
2009,bihar,sheohar,0
2010,bihar,sheohar,0
2011,bihar,sheohar,1
2012,bihar,sheohar,0
2013,bihar,sheohar,0
2001,madhyapradesh,sheopur,0
2002,madhyapradesh,sheopur,2
2003,madhyapradesh,sheopur,0
2004,madhyapradesh,sheopur,0
2005,madhyapradesh,sheopur,0
2006,madhyapradesh,sheopur,0
2007,madhyapradesh,sheopur,0
2008,madhyapradesh,sheopur,2
2009,madhyapradesh,sheopur,0
2010,madhyapradesh,sheopur,0
2011,madhyapradesh,sheopur,2
2012,madhyapradesh,sheopur,0
2013,madhyapradesh,sheopur,3
2001,himachalpradesh,shimla,1
2002,himachalpradesh,shimla,0
2003,himachalpradesh,shimla,8
2004,himachalpradesh,shimla,6
2005,himachalpradesh,shimla,7
2006,himachalpradesh,shimla,0
2007,himachalpradesh,shimla,0
2008,himachalpradesh,shimla,0
2009,himachalpradesh,shimla,5
2010,himachalpradesh,shimla,4
2011,himachalpradesh,shimla,5
2012,himachalpradesh,shimla,7
2013,himachalpradesh,shimla,11
2001,karnataka,shimoga,0
2002,karnataka,shimoga,1
2003,karnataka,shimoga,0
2004,karnataka,shimoga,2
2005,karnataka,shimoga,5
2006,karnataka,shimoga,2
2007,karnataka,shimoga,3
2008,karnataka,shimoga,5
2009,karnataka,shimoga,3
2010,karnataka,shimoga,8
2011,karnataka,shimoga,10
2012,karnataka,shimoga,3
2013,karnataka,shimoga,4
2001,madhyapradesh,shivpuri,2
2002,madhyapradesh,shivpuri,0
2003,madhyapradesh,shivpuri,0
2004,madhyapradesh,shivpuri,0
2005,madhyapradesh,shivpuri,0
2006,madhyapradesh,shivpuri,7
2007,madhyapradesh,shivpuri,1
2008,madhyapradesh,shivpuri,3
2009,madhyapradesh,shivpuri,8
2010,madhyapradesh,shivpuri,9
2011,madhyapradesh,shivpuri,5
2012,madhyapradesh,shivpuri,19
2013,madhyapradesh,shivpuri,13
2001,uttarpradesh,shrawasti,8
2002,uttarpradesh,shrawasti,19
2003,uttarpradesh,shrawasti,18
2004,uttarpradesh,shrawasti,4
2005,uttarpradesh,shrawasti,7
2006,uttarpradesh,shrawasti,10
2007,uttarpradesh,shrawasti,5
2008,uttarpradesh,shrawasti,2
2009,uttarpradesh,shrawasti,4
2010,uttarpradesh,shrawasti,0
2011,uttarpradesh,shrawasti,0
2012,uttarpradesh,shrawasti,0
2013,uttarpradesh,shrawasti,0
2001,arunachalpradesh,siang_east,0
2002,arunachalpradesh,siang_east,0
2003,arunachalpradesh,siang_east,0
2004,arunachalpradesh,siang_east,0
2005,arunachalpradesh,siang_east,0
2006,arunachalpradesh,siang_east,0
2007,arunachalpradesh,siang_east,0
2008,arunachalpradesh,siang_east,0
2009,arunachalpradesh,siang_east,0
2010,arunachalpradesh,siang_east,0
2011,arunachalpradesh,siang_east,0
2012,arunachalpradesh,siang_east,0
2013,arunachalpradesh,siang_east,0
2001,arunachalpradesh,siang_upper,0
2002,arunachalpradesh,siang_upper,0
2003,arunachalpradesh,siang_upper,0
2004,arunachalpradesh,siang_upper,0
2005,arunachalpradesh,siang_upper,0
2006,arunachalpradesh,siang_upper,0
2007,arunachalpradesh,siang_upper,0
2008,arunachalpradesh,siang_upper,0
2009,arunachalpradesh,siang_upper,0
2010,arunachalpradesh,siang_upper,0
2011,arunachalpradesh,siang_upper,0
2012,arunachalpradesh,siang_upper,0
2013,arunachalpradesh,siang_upper,0
2001,arunachalpradesh,siang_west,2
2002,arunachalpradesh,siang_west,0
2003,arunachalpradesh,siang_west,0
2004,arunachalpradesh,siang_west,0
2005,arunachalpradesh,siang_west,0
2006,arunachalpradesh,siang_west,1
2007,arunachalpradesh,siang_west,1
2008,arunachalpradesh,siang_west,0
2009,arunachalpradesh,siang_west,0
2010,arunachalpradesh,siang_west,1
2011,arunachalpradesh,siang_west,0
2012,arunachalpradesh,siang_west,0
2013,arunachalpradesh,siang_west,2
2001,assam,sibsagar,0
2002,assam,sibsagar,0
2003,assam,sibsagar,0
2004,assam,sibsagar,0
2005,assam,sibsagar,0
2006,assam,sibsagar,0
2007,assam,sibsagar,0
2008,assam,sibsagar,0
2009,assam,sibsagar,0
2010,assam,sibsagar,0
2011,assam,sibsagar,0
2012,assam,sibsagar,0
2013,assam,sibsagar,0
2001,uttarpradesh,sidharthnagar,3
2002,uttarpradesh,sidharthnagar,4
2003,uttarpradesh,sidharthnagar,7
2004,uttarpradesh,sidharthnagar,4
2005,uttarpradesh,sidharthnagar,40
2006,uttarpradesh,sidharthnagar,58
2007,uttarpradesh,sidharthnagar,33
2008,uttarpradesh,sidharthnagar,20
2009,uttarpradesh,sidharthnagar,6
2010,uttarpradesh,sidharthnagar,0
2011,uttarpradesh,sidharthnagar,0
